SOURCE,TARGET,VALUE
0,2,471
0,1,156
1,3,102
0,3,70
1,6,63
1,4,52
1,9,51
0,5,50
1,11,49
9,17,43
1,17,37
3,6,37
9,11,36
1,7,36
1,10,35
0,6,35
1,15,33
0,4,33
0,9,33
1,5,33
3,17,32
3,9,31
3,15,30
0,7,30
0,17,30
0,14,29
0,19,29
1,8,29
11,17,28
0,11,27
1,14,26
3,11,25
0,18,24
0,16,24
1,19,22
1,18,22
0,13,22
6,15,22
8,13,22
5,12,21
0,15,21
3,4,20
0,8,20
1,13,19
0,10,19
1,16,17
3,18,17
4,13,17
4,5,17
4,7,16
3,16,15
6,9,14
0,12,14
3,10,14
4,6,14
6,11,14
11,13,13
1,2,13
8,11,13
10,12,12
1,12,12
3,7,12
9,10,12
4,11,11
5,8,11
5,10,10
3,8,10
4,15,10
6,14,10
7,19,10
5,7,10
3,14,9
9,13,9
7,14,9
10,18,8
10,16,8
6,7,8
3,5,8
3,19,8
4,19,8
4,12,8
9,16,8
6,17,8
4,8,8
7,15,8
13,17,7
10,11,7
10,17,7
16,17,7
16,19,7
8,9,7
4,14,7
6,13,7
5,11,6
11,16,6
3,13,6
9,18,6
7,13,6
7,12,6
