SOURCE,TARGET,VALUE
1,2,55
0,2,47
2,19,43
2,14,39
2,6,38
1,6,36
0,1,35
2,16,30
2,12,30
0,12,30
1,4,28
0,14,27
1,12,26
0,6,26
1,5,24
1,14,23
0,4,22
1,15,21
2,18,20
14,19,19
4,12,18
9,11,18
1,16,17
3,6,17
6,12,16
1,18,15
3,9,15
7,8,15
3,11,15
6,19,15
1,17,14
1,19,14
11,15,14
4,6,14
1,7,14
1,3,14
3,15,13
3,10,13
2,17,12
2,5,12
0,16,12
6,11,12
6,14,12
15,17,11
6,9,11
16,18,11
0,19,11
9,10,11
6,16,11
6,15,11
12,14,10
2,3,10
2,4,10
5,15,10
9,15,10
6,10,10
5,7,10
12,19,9
2,9,9
1,10,9
5,6,9
6,18,9
12,16,8
3,17,8
4,5,8
1,8,8
10,11,7
6,7,7
1,11,7
16,19,7
14,16,7
3,5,7
9,17,7
6,17,7
1,9,7
2,15,6
2,11,6
5,17,6
10,15,6
11,17,6
3,19,6
4,14,6
4,7,6
4,8,6
7,14,6
